CPP,Indicator,Type,Year,value
West Dunbartonshire,Healthy Birthweight,Raw data,2012/13,90.04128209420765
West Lothian,Healthy Birthweight,Raw data,2012/13,89.98248995230665
Aberdeen City,Healthy Birthweight,Raw data,2013/14,90.34780931005893
Aberdeenshire,Healthy Birthweight,Raw data,2013/14,90.11275613249103
Angus,Healthy Birthweight,Raw data,2013/14,89.35629704846058
Argyll and Bute,Healthy Birthweight,Raw data,2013/14,88.79472966408973
Clackmannanshire,Healthy Birthweight,Raw data,2013/14,88.64264597963513
Dumfries and Galloway,Healthy Birthweight,Raw data,2013/14,90.09992306089482
Dundee City,Healthy Birthweight,Raw data,2013/14,90.020025777863
East Ayrshire,Healthy Birthweight,Raw data,2013/14,89.19813542500373
East Dunbartonshire,Healthy Birthweight,Raw data,2013/14,88.99052870452932
East Lothian,Healthy Birthweight,Raw data,2013/14,90.38480966890705
East Renfrewshire,Healthy Birthweight,Raw data,2013/14,88.99558202623184
"Edinburgh, City of",Healthy Birthweight,Raw data,2013/14,90.43217204211551
Eilean Siar,Healthy Birthweight,Raw data,2013/14,86.66904986499368
Falkirk,Healthy Birthweight,Raw data,2013/14,89.24985261175817
Fife,Healthy Birthweight,Raw data,2013/14,89.0635438019391
Glasgow City,Healthy Birthweight,Raw data,2013/14,89.57935496321959
Highland,Healthy Birthweight,Raw data,2013/14,89.47389516431623
Inverclyde,Healthy Birthweight,Raw data,2013/14,91.38409372442311
Midlothian,Healthy Birthweight,Raw data,2013/14,89.10649894740057
Moray,Healthy Birthweight,Raw data,2013/14,90.1832337691601
North Ayrshire,Healthy Birthweight,Raw data,2013/14,88.49808540631678
North Lanarkshire,Healthy Birthweight,Raw data,2013/14,89.21993697014544
Orkney Islands,Healthy Birthweight,Raw data,2013/14,87.79652396827358
Perth and Kinross,Healthy Birthweight,Raw data,2013/14,88.74430912898153
Renfrewshire,Healthy Birthweight,Raw data,2013/14,89.70145878125855
Scotland,Healthy Birthweight,Raw data,2013/14,89.61409802109387
Scottish Borders,Healthy Birthweight,Raw data,2013/14,89.75133535940849
Shetland Islands,Healthy Birthweight,Raw data,2013/14,89.13559322033898
South Ayrshire,Healthy Birthweight,Raw data,2013/14,89.26974263919647
South Lanarkshire,Healthy Birthweight,Raw data,2013/14,89.57678203237383
Stirling,Healthy Birthweight,Raw data,2013/14,88.1392524781577
West Dunbartonshire,Healthy Birthweight,Raw data,2013/14,89.46140929211263
West Lothian,Healthy Birthweight,Raw data,2013/14,90.53762839564384
Aberdeen City,Healthy Birthweight,Raw data,2014/15,90.38284580051324
Aberdeenshire,Healthy Birthweight,Raw data,2014/15,89.98726922775204
Angus,Healthy Birthweight,Raw data,2014/15,89.52393145190284
Argyll and Bute,Healthy Birthweight,Raw data,2014/15,89.364145859946575
Clackmannanshire,Healthy Birthweight,Raw data,2014/15,88.83928800901738
Dumfries and Galloway,Healthy Birthweight,Raw data,2014/15,90.54539016866374
Dundee City,Healthy Birthweight,Raw data,2014/15,89.91397573941315
East Ayrshire,Healthy Birthweight,Raw data,2014/15,89.42758673061398
East Dunbartonshire,Healthy Birthweight,Raw data,2014/15,88.95437748567342
East Lothian,Healthy Birthweight,Raw data,2014/15,90.22802694775692
East Renfrewshire,Healthy Birthweight,Raw data,2014/15,89.04906307205601
"Edinburgh, City of",Healthy Birthweight,Raw data,2014/15,90.58506360530095
Eilean Siar,Healthy Birthweight,Raw data,2014/15,86.97763706799083
Falkirk,Healthy Birthweight,Raw data,2014/15,89.64800062116082
Fife,Healthy Birthweight,Raw data,2014/15,89.28594906144049
Glasgow City,Healthy Birthweight,Raw data,2014/15,89.79676893251742
Highland,Healthy Birthweight,Raw data,2014/15,89.68445526045913
Inverclyde,Healthy Birthweight,Raw data,2014/15,91.81555740324238
Midlothian,Healthy Birthweight,Raw data,2014/15,89.77728017927105
Moray,Healthy Birthweight,Raw data,2014/15,90.59072210554469
